frame,track_id,class_name,x1,y1,x2,y2,confidence,speed,direction
6,2,car,400,285,447,338,0.8091491460800171,0.0,0
6,3,person,573,258,608,378,0.8320252299308777,0.5,0
6,4,car,0,219,304,479,0.5960221290588379,11.510864433221338,-3.0981417581982624
6,5,bus,451,182,539,348,0.9249090552330017,1.118033988749895,-2.677945044588987
6,6,car,0,282,48,396,0.534216046333313,6.18465843842649,2.896613990462929
6,7,person,614,266,639,434,0.6298454999923706,4.272001872658765,1.2120256565243244
6,8,truck,0,217,305,479,0.6768465638160706,11.045361017187261,-3.050932766389048
6,10,car,294,284,327,336,0.512901246547699,0.0,0
7,1,car,323,293,393,354,0.8913145661354065,1.118033988749895,2.677945044588987
7,2,car,399,285,447,338,0.7945687770843506,0.5,0
7,3,person,574,258,608,378,0.8371276259422302,1.118033988749895,0.4636476090008061
7,4,car,0,218,297,479,0.6357564330101013,6.576473218982953,-2.988943325194528
7,5,bus,450,181,539,349,0.9207263588905334,0.0,0
7,7,person,615,267,639,424,0.4751640558242798,1.5,3.141592653589793
7,8,truck,0,215,297,480,0.6022811532020569,7.0710678118654755,-2.999695598985629
7,10,car,292,285,333,336,0.5331934094429016,3.0,3.141592653589793
8,1,car,322,293,392,354,0.8859884738922119,1.5811388300841898,2.819842099193151
8,2,car,399,285,447,339,0.7829165458679199,0.5,0
8,3,person,574,258,609,378,0.852948784828186,0.5,0
8,5,bus,450,180,539,349,0.9034977555274963,0.5,0
8,7,person,616,264,639,400,0.5186242461204529,4.527692569068709,-1.460139105621001
8,8,car,0,215,291,479,0.6993714570999146,4.031128874149275,-3.017237659043032
8,10,car,292,284,335,336,0.42189571261405945,2.0615528128088303,0.24497866312686414
9,1,car,320,294,392,354,0.8810970783233643,1.0,0
9,2,car,399,285,446,339,0.7311432361602783,0.5,0
9,3,person,574,260,609,378,0.8099749088287354,0.5,0
9,4,truck,0,213,284,479,0.49282610416412354,0.0,0
9,5,bus,449,180,539,349,0.9160283803939819,0.5,0
9,7,person,616,266,639,397,0.5382732152938843,13.509256086106296,-1.5337762109209665
9,8,car,0,214,283,479,0.5138587951660156,3.0413812651491097,-2.976443976175166
9,9,person,603,270,621,338,0.30921050906181335,0.0,0
9,10,car,292,285,335,336,0.485876202583313,1.118033988749895,-0.4636476090008061
9,11,traffic light,298,209,311,248,0.3115905821323395,0,0
10,1,car,318,293,391,355,0.8997333645820618,1.118033988749895,2.677945044588987
10,2,car,398,285,446,340,0.7453376054763794,0.5,0
10,3,person,574,260,611,381,0.8441281318664551,1.0,0
10,4,truck,0,209,275,479,0.6802265048027039,6.96419413859206,-2.774418819771574
10,5,bus,449,180,539,350,0.9089536666870117,0.5,0
10,7,person,617,274,639,391,0.5544201731681824,0.5,0
10,8,car,0,211,275,479,0.5452427864074707,4.031128874149275,-3.017237659043032
10,10,truck,295,286,335,336,0.3100663721561432,0.5,0
11,1,car,317,294,390,357,0.8696030974388123,1.5,3.141592653589793
11,2,car,397,286,445,340,0.6833727359771729,0.7071067811865476,0
11,3,person,574,260,612,382,0.8560672402381897,1.8027756377319946,0.982793723247329
11,4,car,0,205,266,479,0.5977617502212524,4.924428900898052,-2.723368324010564
11,5,bus,448,179,539,352,0.9119009375572205,0.5,0
11,7,person,616,265,639,389,0.5882354974746704,1.118033988749895,1.1071487177940904
11,8,truck,0,205,266,479,0.5263022780418396,4.272001872658765,-2.782821983319221
11,10,car,298,287,335,338,0.37258413434028625,1.5811388300841898,0.3217505543966422
12,1,car,316,295,388,358,0.8610087633132935,1.8027756377319946,2.158798930342464
12,2,car,397,286,444,342,0.6151935458183289,1.118033988749895,2.677945044588987
12,3,person,575,259,612,383,0.8499772548675537,0.7071067811865476,0
12,4,truck,0,203,258,479,0.6451457142829895,4.924428900898052,-2.723368324010564
12,5,bus,447,179,539,354,0.9031640291213989,0.7071067811865476,0
12,7,person,616,265,639,387,0.5591001510620117,5.522680508593631,-1.6614562139956417
12,8,car,0,203,259,479,0.47004014253616333,5.408326913195984,-2.5535900500422257
12,10,car,299,288,335,339,0.3077482283115387,2.1213203435596424,0.7853981633974483
13,1,car,313,296,386,360,0.8438817858695984,1.8027756377319946,2.5535900500422257
13,2,car,397,287,445,343,0.6833698153495789,1.118033988749895,2.0344439357957027
13,3,person,576,260,611,385,0.8539276719093323,0.5,0
